Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1763849246,146548,265048,19,1
2,Payment,1763849246,155923,719459,44,1
1,NewOrder,1763849246,165884,924197,38,1
2,Payment,1763849246,199258,1054050,7,1
1,NewOrder,1763849246,199258,1647360,47,1
1,NewOrder,1763849246,233449,870295,36,1
1,NewOrder,1763849246,234368,849829,41,1
2,Payment,1763849246,240641,1506541,43,1
2,Payment,1763849246,254056,737278,18,1
3,OrderStatus,1763849246,295511,95064,25,1
1,NewOrder,1763849246,319348,1149631,16,1
1,NewOrder,1763849246,327546,1229836,17,1
1,NewOrder,1763849246,354178,549189,2,1
2,Payment,1763849246,366278,1279803,14,1
2,Payment,1763849246,369155,823127,39,1
2,Payment,1763849246,369352,1543072,40,1
1,NewOrder,1763849246,380907,665598,1,1
2,Payment,1763849246,390530,819618,0,1
1,NewOrder,1763849246,390712,1372365,29,1
2,Payment,1763849246,390784,738184,25,1
2,Payment,1763849246,405030,1301418,21,1
1,NewOrder,1763849246,411626,1274754,19,1
2,Payment,1763849246,427322,1862452,27,1
2,Payment,1763849246,441078,906153,35,1
1,NewOrder,1763849246,452165,802282,23,1
1,NewOrder,1763849246,454505,1050515,42,1
1,NewOrder,1763849246,471262,1160092,46,1
3,OrderStatus,1763849246,476451,341304,4,1
2,Payment,1763849246,483110,615290,34,1
2,Payment,1763849246,500899,1003723,37,1
2,Payment,1763849246,510247,971020,3,1
2,Payment,1763849246,537888,659807,32,1
2,Payment,1763849246,785996,646142,33,1
1,NewOrder,1763849246,817805,1577796,4,1
1,NewOrder,1763849246,834788,1125529,28,1
2,Payment,1763849246,841791,1007819,15,1
1,NewOrder,1763849246,842113,1042667,9,1
1,NewOrder,1763849246,842655,1378432,22,1
2,Payment,1763849246,875427,1180227,44,1
5,StockLevel,1763849246,884802,924626,49,1
1,NewOrder,1763849246,890284,927985,6,1
2,Payment,1763849246,903400,1681200,2,1
4,Delivery,1763849246,958461,1464371,48,1
1,NewOrder,1763849246,962025,1067458,26,1
2,Payment,1763849246,980430,1338783,5,1
2,Payment,1763849246,984830,936930,11,1
3,OrderStatus,1763849246,991361,172325,18,1
2,Payment,1763849247,024487,642781,31,1
4,Delivery,1763849247,040608,393151,30,1
5,StockLevel,1763849247,046533,690566,1,1
1,NewOrder,1763849247,064514,605076,45,1
1,NewOrder,1763849247,075511,1297655,10,1
1,NewOrder,1763849247,084228,1652889,41,1
2,Payment,1763849247,090241,659071,38,1
2,Payment,1763849247,098433,782226,34,1
1,NewOrder,1763849247,103774,1290985,36,1
2,Payment,1763849247,128992,1318615,25,1
1,NewOrder,1763849247,134733,931810,8,1
2,Payment,1763849247,163735,826141,18,1
2,Payment,1763849247,183091,1472420,13,1
5,StockLevel,1763849247,192307,902023,39,1
2,Payment,1763849247,197728,792565,32,1
1,NewOrder,1763849247,210173,729165,0,1
1,NewOrder,1763849247,253334,1833721,7,1
2,Payment,1763849247,254516,1330094,23,1
1,NewOrder,1763849247,289430,1098549,24,1
2,Payment,1763849247,347255,1263426,35,1
1,NewOrder,1763849247,377000,1063820,12,1
2,Payment,1763849247,432169,739556,33,1
2,Payment,1763849247,433789,961475,30,1
1,NewOrder,1763849247,469000,1331776,16,1
1,NewOrder,1763849247,481302,1977008,3,1
2,Payment,1763849247,490324,1236182,20,1
2,Payment,1763849247,504650,1200904,37,1
2,Payment,1763849247,505042,1388791,42,1
2,Payment,1763849247,557413,1680873,17,1
2,Payment,1763849247,631385,359849,46,1
2,Payment,1763849247,646108,1202812,14,1
2,Payment,1763849247,667299,952710,31,1
3,OrderStatus,1763849247,669617,75179,45,1
3,OrderStatus,1763849247,686412,123946,19,1
1,NewOrder,1763849247,706477,2225335,21,1
1,NewOrder,1763849247,737151,1526648,1,1
2,Payment,1763849247,744829,426873,45,1
2,Payment,1763849247,747214,1333797,43,1
1,NewOrder,1763849247,749381,1576235,38,1
1,NewOrder,1763849247,763107,1762288,29,1
1,NewOrder,1763849247,809458,1040464,49,1
1,NewOrder,1763849247,810384,1233771,19,1
2,Payment,1763849247,818298,1493668,6,1
1,NewOrder,1763849247,846646,1027851,47,1
2,Payment,1763849247,849688,1606133,15,1
2,Payment,1763849247,880692,847010,34,1
2,Payment,1763849247,884809,1725192,9,1
1,NewOrder,1763849247,912456,850563,40,1
2,Payment,1763849247,921791,1121828,11,1
2,Payment,1763849247,939364,1821707,0,1
1,NewOrder,1763849247,960346,1142717,28,1
1,NewOrder,1763849247,989900,2179415,18,1
2,Payment,1763849247,990325,896569,32,1
2,Payment,1763849247,991259,1019945,46,1
2,Payment,1763849248,029515,1694509,26,1
2,Payment,1763849248,055678,1217951,44,1
1,NewOrder,1763849248,066597,813590,8,1
2,Payment,1763849248,094362,1776004,39,1
2,Payment,1763849248,171736,1128661,45,1
1,NewOrder,1763849248,171745,1628184,33,1
1,NewOrder,1763849248,221117,1291975,22,1
1,NewOrder,1763849248,289826,603948,27,1
2,Payment,1763849248,319264,1487999,5,1
2,Payment,1763849248,373193,836127,10,1
1,NewOrder,1763849248,388009,840888,24,1
3,OrderStatus,1763849248,394790,79547,36,1
1,NewOrder,1763849248,395288,1468465,30,1
1,NewOrder,1763849248,395618,1152449,4,1
2,Payment,1763849248,422862,1102318,48,1
1,NewOrder,1763849248,440865,1508473,12,1
1,NewOrder,1763849248,447634,1696433,25,1
1,NewOrder,1763849248,474372,1241141,36,1
2,Payment,1763849248,584625,1305454,2,1
2,Payment,1763849248,584630,1506157,23,1
1,NewOrder,1763849248,610723,935368,35,1
1,NewOrder,1763849248,620041,1292260,31,1
1,NewOrder,1763849248,655662,1256789,13,1
1,NewOrder,1763849248,705633,1552008,37,1
3,OrderStatus,1763849248,726540,107616,20,1
2,Payment,1763849248,727732,1276479,34,1
2,Payment,1763849248,737150,787861,41,1
1,NewOrder,1763849248,763054,1553815,40,1
1,NewOrder,1763849248,800810,1426705,16,1
2,Payment,1763849248,834194,1351241,20,1
1,NewOrder,1763849248,848960,1063286,14,1
1,NewOrder,1763849248,849944,1357447,49,1
2,Payment,1763849248,875010,1551499,47,1
2,Payment,1763849248,880230,1110167,8,1
2,Payment,1763849248,886924,1235007,32,1
2,Payment,1763849248,893809,1360804,27,1
1,NewOrder,1763849248,893862,1355329,42,1
1,NewOrder,1763849249,011243,1174051,46,1
1,NewOrder,1763849249,043653,774126,11,1
1,NewOrder,1763849249,044182,1021650,19,1
1,NewOrder,1763849249,081046,921391,43,1
2,Payment,1763849249,087084,1048301,7,1
2,Payment,1763849249,103095,1300731,28,1
1,NewOrder,1763849249,209347,898764,10,1
2,Payment,1763849249,228935,1025091,24,1
1,NewOrder,1763849249,238323,859545,17,1
2,Payment,1763849249,263830,742369,1,1
4,Delivery,1763849249,273660,1202403,44,1
1,NewOrder,1763849249,300505,998406,45,1
4,Delivery,1763849249,311997,733338,6,1
2,Payment,1763849249,325644,1100864,38,1
2,Payment,1763849249,455852,872807,15,1
2,Payment,1763849249,458598,649570,3,1
2,Payment,1763849249,513129,821521,22,1
2,Payment,1763849249,525039,886546,41,1
1,NewOrder,1763849249,525206,1273180,48,1
5,StockLevel,1763849249,525418,180726,29,1
2,Payment,1763849249,546392,965252,35,1
1,NewOrder,1763849249,548098,1032333,4,1
2,Payment,1763849249,610026,637624,9,1
1,NewOrder,1763849249,706169,1210824,29,1
1,NewOrder,1763849249,715539,593698,36,1
2,Payment,1763849249,724055,1342654,26,1
2,Payment,1763849249,761107,968168,0,1
2,Payment,1763849249,799964,439467,33,1
