Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1763837691,238911,81967,9,1
1,NewOrder,1763837691,245760,70062,7,1
1,NewOrder,1763837691,248855,61072,8,1
2,Payment,1763837691,250837,103748,3,1
1,NewOrder,1763837691,253187,69276,5,1
2,Payment,1763837691,254570,109616,4,1
2,Payment,1763837691,267044,107112,0,1
2,Payment,1763837691,309991,72387,8,1
2,Payment,1763837691,315881,76512,7,1
1,NewOrder,1763837691,317615,119933,1,1
1,NewOrder,1763837691,320988,116562,9,1
3,OrderStatus,1763837691,322527,5765,5,1
2,Payment,1763837691,328337,119473,5,1
2,Payment,1763837691,332610,125683,6,1
2,Payment,1763837691,344001,125098,2,1
2,Payment,1763837691,354658,125883,3,1
3,OrderStatus,1763837691,364256,4825,4,1
5,StockLevel,1763837691,369154,4366,4,1
1,NewOrder,1763837691,373577,62029,4,1
2,Payment,1763837691,374206,118549,0,1
2,Payment,1763837691,382444,122639,8,1
2,Payment,1763837691,392458,124716,7,1
1,NewOrder,1763837691,435669,154736,4,1
1,NewOrder,1763837691,437623,150728,1,1
1,NewOrder,1763837691,437629,149178,9,1
1,NewOrder,1763837691,447874,138865,5,1
5,StockLevel,1763837691,458349,4961,6,1
1,NewOrder,1763837691,463370,123338,6,1
1,NewOrder,1763837691,469168,122704,2,1
2,Payment,1763837691,480691,122084,3,1
1,NewOrder,1763837691,492824,80921,0,1
1,NewOrder,1763837691,505168,81706,8,1
2,Payment,1763837691,517254,95756,7,1
1,NewOrder,1763837691,573808,88168,0,1
2,Payment,1763837691,586768,86620,6,1
2,Payment,1763837691,586793,96469,5,1
2,Payment,1763837691,586860,114755,9,1
2,Payment,1763837691,586922,105925,8,1
1,NewOrder,1763837691,588411,55789,1,1
1,NewOrder,1763837691,590467,56333,4,1
1,NewOrder,1763837691,591958,65507,2,1
1,NewOrder,1763837691,602833,38688,3,1
2,Payment,1763837691,613070,99963,7,1
2,Payment,1763837691,641585,84152,3,1
1,NewOrder,1763837691,644257,110435,1,1
2,Payment,1763837691,646857,137109,4,1
2,Payment,1763837691,657575,134655,2,1
1,NewOrder,1763837691,662161,83947,0,1
1,NewOrder,1763837691,673453,101580,6,1
2,Payment,1763837691,683335,117741,5,1
1,NewOrder,1763837691,692927,64164,8,1
2,Payment,1763837691,701672,109601,9,1
1,NewOrder,1763837691,713102,51188,7,1
1,NewOrder,1763837691,725792,129676,3,1
1,NewOrder,1763837691,746186,97125,0,1
2,Payment,1763837691,754759,110745,1,1
2,Payment,1763837691,757162,119629,8,1
2,Payment,1763837691,764353,124232,7,1
5,StockLevel,1763837691,775104,3932,6,1
2,Payment,1763837691,779083,119975,6,1
1,NewOrder,1763837691,784026,54748,4,1
1,NewOrder,1763837691,792288,39839,2,1
1,NewOrder,1763837691,801147,43664,5,1
2,Payment,1763837691,811336,98399,9,1
2,Payment,1763837691,832190,89422,2,1
2,Payment,1763837691,838827,92447,4,1
1,NewOrder,1763837691,843402,121254,0,1
2,Payment,1763837691,844958,98124,5,1
2,Payment,1763837691,855535,129284,3,1
1,NewOrder,1763837691,865554,103185,1,1
2,Payment,1763837691,876854,115579,8,1
2,Payment,1763837691,888669,114305,7,1
2,Payment,1763837691,899114,115495,6,1
2,Payment,1763837691,909792,113060,9,1
1,NewOrder,1763837691,921674,52887,2,1
1,NewOrder,1763837691,931353,35505,4,1
4,Delivery,1763837691,943146,42791,5,1
