Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,Delivery,1763850164,984015,370596,21,1
2,Payment,1763850164,984145,625477,49,1
1,NewOrder,1763850164,984194,1067315,6,1
1,NewOrder,1763850164,985049,616226,12,1
1,NewOrder,1763850165,004001,628244,30,1
1,NewOrder,1763850165,004522,830898,32,1
2,Payment,1763850165,007394,1096197,29,1
5,StockLevel,1763850165,038976,552137,35,1
1,NewOrder,1763850165,125183,885817,2,1
1,NewOrder,1763850165,128492,406265,17,1
2,Payment,1763850165,154382,1044833,27,1
2,Payment,1763850165,155061,846831,37,1
1,NewOrder,1763850165,173583,535812,31,1
1,NewOrder,1763850165,244339,589647,24,1
1,NewOrder,1763850165,260852,927342,13,1
1,NewOrder,1763850165,276833,414792,38,1
2,Payment,1763850165,279168,744081,33,1
2,Payment,1763850165,291899,1082034,43,1
1,NewOrder,1763850165,344967,799382,34,1
1,NewOrder,1763850165,354716,252789,21,1
1,NewOrder,1763850165,356758,584290,26,1
5,StockLevel,1763850165,373177,411453,22,1
1,NewOrder,1763850165,378682,735662,39,1
1,NewOrder,1763850165,380104,683271,7,1
1,NewOrder,1763850165,392424,670963,46,1
1,NewOrder,1763850165,407900,670320,8,1
1,NewOrder,1763850165,413559,624262,45,1
1,NewOrder,1763850165,426987,658404,0,1
1,NewOrder,1763850165,430735,903518,44,1
1,NewOrder,1763850165,430932,329401,15,1
1,NewOrder,1763850165,469022,303946,18,1
1,NewOrder,1763850165,497455,933924,25,1
1,NewOrder,1763850165,510209,557724,48,1
2,Payment,1763850165,511491,783538,10,1
2,Payment,1763850165,522179,677646,47,1
4,Delivery,1763850165,533633,3857790,9,1
5,StockLevel,1763850165,534930,465302,17,1
1,NewOrder,1763850165,563589,4632352,4,1
2,Payment,1763850165,591211,668733,35,1
2,Payment,1763850165,601354,364794,19,1
2,Payment,1763850165,601368,777603,12,1
2,Payment,1763850165,608509,299197,21,1
1,NewOrder,1763850165,609901,830426,49,1
1,NewOrder,1763850165,622377,514733,20,1
4,Delivery,1763850165,632310,224491,30,1
2,Payment,1763850165,665573,576529,23,1
1,NewOrder,1763850165,691739,427646,38,1
1,NewOrder,1763850165,709462,484111,31,1
2,Payment,1763850165,722104,728381,14,1
1,NewOrder,1763850165,758819,304568,5,1
2,Payment,1763850165,760396,343181,15,1
1,NewOrder,1763850165,773041,531133,18,1
1,NewOrder,1763850165,784711,318818,22,1
5,StockLevel,1763850165,792586,529609,36,1
1,NewOrder,1763850165,813688,556255,16,1
1,NewOrder,1763850165,813784,416163,40,1
2,Payment,1763850165,834098,479921,24,1
5,StockLevel,1763850165,835501,4228186,32,1
1,NewOrder,1763850165,850184,519689,28,1
2,Payment,1763850165,856898,406439,30,1
2,Payment,1763850165,907835,477041,21,1
2,Payment,1763850165,916033,1282080,11,1
2,Payment,1763850165,941109,594885,26,1
1,NewOrder,1763850165,966274,247932,19,1
2,Payment,1763850166,000329,566427,17,1
1,NewOrder,1763850166,001947,343834,37,1
5,StockLevel,1763850166,011049,2806505,2,1
2,Payment,1763850166,011055,420324,41,1
2,Payment,1763850166,023343,355664,33,1
2,Payment,1763850166,032441,4234925,3,1
2,Payment,1763850166,037921,1160102,45,1
1,NewOrder,1763850166,051729,178291,6,1
1,NewOrder,1763850166,063477,613275,7,1
2,Payment,1763850166,063483,2012931,46,1
2,Payment,1763850166,063805,214710,5,1
1,NewOrder,1763850166,068092,296140,48,1
1,NewOrder,1763850166,078312,568107,8,1
2,Payment,1763850166,085484,4275043,0,1
2,Payment,1763850166,103597,682249,22,1
2,Payment,1763850166,103611,1972257,15,1
1,NewOrder,1763850166,103646,239208,29,1
1,NewOrder,1763850166,114446,316933,39,1
3,OrderStatus,1763850166,119471,40634,38,1
1,NewOrder,1763850166,137199,1625324,20,1
2,Payment,1763850166,144435,505623,34,1
2,Payment,1763850166,160172,486235,38,1
1,NewOrder,1763850166,188282,3206587,13,1
1,NewOrder,1763850166,193643,1620139,31,1
5,StockLevel,1763850166,199301,4032550,27,1
1,NewOrder,1763850166,199991,3816218,47,1
1,NewOrder,1763850166,214285,3908031,19,1
2,Payment,1763850166,227493,4214659,1,1
2,Payment,1763850166,230089,556296,40,1
1,NewOrder,1763850166,230102,3940229,6,1
2,Payment,1763850166,242294,3879080,23,1
1,NewOrder,1763850166,260030,1816721,35,1
1,NewOrder,1763850166,263565,2554002,30,1
2,Payment,1763850166,278572,3994202,5,1
1,NewOrder,1763850166,284871,1636742,42,1
2,Payment,1763850166,295781,3798951,10,1
1,NewOrder,1763850166,304263,3865986,18,1
1,NewOrder,1763850166,314104,3717617,24,1
1,NewOrder,1763850166,322272,2495679,36,1
1,NewOrder,1763850166,334319,1635002,44,1
2,Payment,1763850166,342914,444046,29,1
1,NewOrder,1763850166,345822,1730233,37,1
1,NewOrder,1763850166,364284,3626137,48,1
2,Payment,1763850166,369928,563022,28,1
1,NewOrder,1763850166,369988,3660832,16,1
2,Payment,1763850166,373994,1974080,43,1
1,NewOrder,1763850166,379047,1862331,12,1
1,NewOrder,1763850166,379075,3012040,33,1
2,Payment,1763850166,384930,3835742,21,1
3,OrderStatus,1763850166,431430,106887,39,1
2,Payment,1763850166,431430,2959912,41,1
2,Payment,1763850166,431477,1225676,25,1
2,Payment,1763850166,440413,3654437,49,1
1,NewOrder,1763850166,450551,3539779,14,1
1,NewOrder,1763850166,536064,1433384,26,1
2,Payment,1763850166,538366,3493390,39,1
1,NewOrder,1763850166,566809,3510884,17,1
2,Payment,1763850166,646469,3528497,38,1
5,StockLevel,1763850166,646487,3698799,8,1
2,Payment,1763850166,650129,3481875,34,1
2,Payment,1763850166,676822,3763629,7,1
1,NewOrder,1763850166,785933,3784581,22,1
2,Payment,1763850166,786447,3215367,40,1
3,OrderStatus,1763850166,787001,613036,29,1
1,NewOrder,1763850166,933014,2459139,28,1
1,NewOrder,1763850167,198091,2818088,45,1
1,NewOrder,1763850167,198141,3118817,11,1
1,NewOrder,1763850167,400094,2502532,29,1
2,Payment,1763850167,657209,2389799,25,1
2,Payment,1763850167,762596,2951526,20,1
2,Payment,1763850167,813933,2364348,31,1
2,Payment,1763850167,921703,2219196,42,1
2,Payment,1763850167,969373,2314189,44,1
1,NewOrder,1763850167,969470,2377401,26,1
5,StockLevel,1763850168,075924,2369084,15,1
2,Payment,1763850168,076141,2220172,37,1
4,Delivery,1763850168,076495,2111406,46,1
1,NewOrder,1763850168,076789,2579769,35,1
3,OrderStatus,1763850168,241444,1262804,12,1
4,Delivery,1763850168,348142,2362626,43,1
1,NewOrder,1763850168,817627,1670918,30,1
2,Payment,1763850168,817627,1751120,2,1
1,NewOrder,1763850168,817983,1718100,36,1
2,Payment,1763850169,391187,1200272,33,1
2,Payment,1763850169,391399,1013198,41,1
2,Payment,1763850169,391881,1191082,9,1
2,Payment,1763850169,392201,1080809,28,1
2,Payment,1763850169,394935,1153388,13,1
2,Payment,1763850169,504300,1129166,12,1
1,NewOrder,1763850169,902739,436716,29,1
1,NewOrder,1763850169,990394,381151,14,1
2,Payment,1763850169,990466,242421,48,1
2,Payment,1763850170,001883,503238,40,1
2,Payment,1763850170,016257,300555,45,1
1,NewOrder,1763850170,016278,607529,47,1
1,NewOrder,1763850170,030907,202832,16,1
1,NewOrder,1763850170,031783,329309,24,1
2,Payment,1763850170,031826,687269,39,1
1,NewOrder,1763850170,047087,932307,25,1
2,Payment,1763850170,063740,615646,32,1
1,NewOrder,1763850170,077739,156219,17,1
1,NewOrder,1763850170,094808,1178931,10,1
1,NewOrder,1763850170,094900,496978,49,1
1,NewOrder,1763850170,121523,448306,23,1
2,Payment,1763850170,122413,237588,19,1
2,Payment,1763850170,132185,596939,34,1
1,NewOrder,1763850170,140955,818146,42,1
5,StockLevel,1763850170,170296,179479,18,1
2,Payment,1763850170,170373,509534,6,1
1,NewOrder,1763850170,174994,281981,38,1
1,NewOrder,1763850170,178321,842762,31,1
1,NewOrder,1763850170,187941,343456,46,1
1,NewOrder,1763850170,195978,601048,4,1
2,Payment,1763850170,220729,596685,21,1
1,NewOrder,1763850170,231905,497193,27,1
1,NewOrder,1763850170,232930,335685,48,1
1,NewOrder,1763850170,233775,448636,16,1
2,Payment,1763850170,234002,208669,17,1
5,StockLevel,1763850170,267423,375311,3,1
1,NewOrder,1763850170,272893,615873,5,1
2,Payment,1763850170,283623,824664,44,1
1,NewOrder,1763850170,296374,842442,37,1
2,Payment,1763850170,316872,398261,45,1
1,NewOrder,1763850170,317007,515805,11,1
2,Payment,1763850170,339715,716153,29,1
2,Payment,1763850170,345337,693813,8,1
2,Payment,1763850170,346923,829227,26,1
2,Payment,1763850170,349828,417303,18,1
5,StockLevel,1763850170,360058,442728,19,1
2,Payment,1763850170,360571,528704,0,1
1,NewOrder,1763850170,361135,760426,24,1
4,Delivery,1763850170,371600,775407,14,1
2,Payment,1763850170,404827,771292,41,1
2,Payment,1763850170,440515,698347,7,1
1,NewOrder,1763850170,442197,287542,1,1
2,Payment,1763850170,442710,430070,17,1
3,OrderStatus,1763850170,445059,135999,15,1
1,NewOrder,1763850170,457031,548981,38,1
1,NewOrder,1763850170,473067,828315,28,1
2,Payment,1763850170,488610,772524,30,1
3,OrderStatus,1763850170,505170,55581,40,1
5,StockLevel,1763850170,531455,630811,46,1
1,NewOrder,1763850170,536143,491835,36,1
2,Payment,1763850170,548399,849560,13,1
1,NewOrder,1763850170,560804,806587,40,1
1,NewOrder,1763850170,568702,578307,48,1
2,Payment,1763850170,568798,418065,2,1
1,NewOrder,1763850170,569869,551702,23,1
1,NewOrder,1763850170,570553,496729,22,1
1,NewOrder,1763850170,581124,540268,15,1
2,Payment,1763850170,583021,573361,9,1
1,NewOrder,1763850170,591516,555442,33,1
1,NewOrder,1763850170,591925,480837,49,1
1,NewOrder,1763850170,624059,522893,47,1
2,Payment,1763850170,633518,836989,12,1
2,Payment,1763850170,642792,459662,3,1
2,Payment,1763850170,656727,616778,35,1
1,NewOrder,1763850170,679463,376433,32,1
1,NewOrder,1763850170,679947,609167,6,1
2,Payment,1763850170,682468,494005,16,1
2,Payment,1763850170,710815,1601953,43,1
1,NewOrder,1763850170,714171,372450,20,1
1,NewOrder,1763850170,715179,379906,45,1
2,Payment,1763850170,719158,631178,39,1
1,NewOrder,1763850170,729160,644720,27,1
2,Payment,1763850170,729174,620397,34,1
1,NewOrder,1763850170,729787,445597,1,1
1,NewOrder,1763850170,767185,310603,18,1
5,StockLevel,1763850170,797259,259038,4,1
1,NewOrder,1763850170,802847,255468,19,1
2,Payment,1763850170,817475,366918,21,1
1,NewOrder,1763850170,832875,753220,11,1
2,Payment,1763850170,872850,388491,17,1
2,Payment,1763850170,888823,491643,5,1
5,StockLevel,1763850170,889314,489763,0,1
2,Payment,1763850170,959144,1668889,42,1
2,Payment,1763850170,979439,430123,25,1
2,Payment,1763850170,986924,362688,2,1
1,NewOrder,1763850171,006056,446097,38,1
1,NewOrder,1763850171,021121,449463,31,1
1,NewOrder,1763850171,028048,385861,36,1
2,Payment,1763850171,039314,404308,8,1
1,NewOrder,1763850171,055913,293627,29,1
2,Payment,1763850171,055930,620701,32,1
1,NewOrder,1763850171,056321,240759,4,1
1,NewOrder,1763850171,058347,716830,19,1
2,Payment,1763850171,067325,170622,22,1
5,StockLevel,1763850171,072829,348962,49,1
3,OrderStatus,1763850171,077827,25363,18,1
2,Payment,1763850171,086680,188031,20,1
2,Payment,1763850171,095145,82619,45,1
4,Delivery,1763850171,102500,431012,3,1
1,NewOrder,1763850171,103224,278243,18,1
1,NewOrder,1763850171,108332,827993,44,1
1,NewOrder,1763850171,121445,313701,15,1
2,Payment,1763850171,121604,217486,24,1
4,Delivery,1763850171,121612,543399,23,1
2,Payment,1763850171,138845,577059,37,1
2,Payment,1763850171,138888,370094,7,1
5,StockLevel,1763850171,147002,327559,47,1
2,Payment,1763850171,147006,575292,33,1
4,Delivery,1763850171,147025,674747,48,1
2,Payment,1763850171,147033,602962,14,1
2,Payment,1763850171,156432,444873,9,1
2,Payment,1763850171,162311,54545,46,1
1,NewOrder,1763850171,175445,489476,1,1
1,NewOrder,1763850171,176155,2085380,41,1
1,NewOrder,1763850171,176164,294561,26,1
2,Payment,1763850171,176509,704221,16,1
1,NewOrder,1763850171,177804,171868,45,1
1,NewOrder,1763850171,184438,656309,21,1
1,NewOrder,1763850171,216915,188020,46,1
2,Payment,1763850171,238034,668831,22,1
2,Payment,1763850171,261187,558548,30,1
2,Payment,1763850171,261371,849559,17,1
1,NewOrder,1763850171,273557,177233,35,1
2,Payment,1763850171,273766,534218,10,1
2,Payment,1763850171,274751,1037963,20,1
2,Payment,1763850171,289170,471789,6,1
1,NewOrder,1763850171,297107,173393,4,1
1,NewOrder,1763850171,301435,169395,28,1
2,Payment,1763850171,339151,1205237,24,1
2,Payment,1763850171,349635,543656,34,1
1,NewOrder,1763850171,349676,252295,2,1
1,NewOrder,1763850171,349687,586636,45,1
2,Payment,1763850171,349763,236756,29,1
2,Payment,1763850171,350405,457596,39,1
1,NewOrder,1763850171,367443,1842646,40,1
1,NewOrder,1763850171,373934,183745,27,1
4,Delivery,1763850171,379128,257463,0,1
1,NewOrder,1763850171,380505,519226,5,1
2,Payment,1763850171,381506,1216221,18,1
1,NewOrder,1763850171,397989,304988,13,1
5,StockLevel,1763850171,404967,597607,46,1
2,Payment,1763850171,409595,255429,25,1
1,NewOrder,1763850171,413946,725491,36,1
1,NewOrder,1763850171,421828,91589,49,1
3,OrderStatus,1763850171,435187,48800,15,1
2,Payment,1763850171,443674,1930547,8,1
5,StockLevel,1763850171,450829,496938,35,1
2,Payment,1763850171,452184,860592,38,1
1,NewOrder,1763850171,470543,232419,4,1
2,Payment,1763850171,470547,530817,12,1
4,Delivery,1763850171,470612,364458,31,1
1,NewOrder,1763850171,470747,640366,26,1
2,Payment,1763850171,470842,348025,28,1
