Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
93,38,38,000,537497,1015033,1368484,1643407,1577135,3906079,4385930,4386750,4386750
94,85,85,000,64551,420276,541461,706740,709131,1017354,2380100,4103893,4103893
95,148,148,000,30258,352324,669368,899475,1034848,1902413,3304683,3847913,3975726
96,89,89,000,126360,587265,885116,1021226,1184847,1870136,2941816,3659400,3659400
97,128,128,000,53945,294861,494238,686532,804417,1326931,1817230,3462254,3660039
98,121,121,000,57482,371545,563063,702434,756240,1113659,1874730,4639818,4809814
99,141,141,000,60892,414608,676033,1023220,1102010,1876145,4395286,5259539,5538019
100,111,111,000,161471,438196,671206,1072928,1367058,2497127,2846813,4259562,5074665
101,59,59,000,212063,941975,1819847,1800652,2247755,2890368,4589505,6056022,6056022
102,35,35,000,485705,871088,1153977,1350181,1541049,1952440,3669703,4055279,4055279
103,140,140,000,74870,371287,615970,821504,942233,1356030,2108681,5897894,9265840
104,116,116,000,45603,307963,711518,1190979,1183134,1934566,6793594,7969987,8270170
105,91,91,000,75073,447300,687052,1431959,1290678,3355884,7167822,8062233,8062233
106,71,71,000,124104,948683,1504243,2391757,4128354,6233256,6372389,7257216,7257216
107,43,43,000,960133,2460808,4023662,3789937,4893942,5355210,6435834,7044916,7044916
108,25,25,000,430594,2633721,3449504,3415848,4270279,4877391,5064737,5534530,5534530
109,9,9,000,1428369,1610004,2920441,2765352,3620722,3977287,3977287,3977287,3977287
110,19,19,000,432680,675326,1646692,1486879,1949470,2606190,3138001,3138001,3138001
111,33,33,000,610975,978416,1153237,1431378,1746009,2181246,3561696,3888615,3888615
112,92,92,000,122716,396337,626093,772295,946593,1437069,1981709,3399527,3399527
113,166,166,000,103810,372698,551888,978790,1007669,1322118,2906075,10641825,11233178
114,146,146,000,32281,324478,749577,1521628,1252285,3715710,9788100,10200587,11529508
115,64,64,000,305681,1385837,2899314,3311812,4558256,7441302,8680316,10222047,10222047
116,31,31,000,602021,1744465,3602991,3912422,6451802,7037456,9018659,9289586,9289586
117,11,11,000,755202,1253912,2647855,2685819,3080430,5430961,6130808,6130808,6130808
118,43,43,000,759675,4117812,4616086,4613972,5296437,6231464,6475976,6694820,6694820
119,1,1,000,3880664,3880664,3880664,3880664,3880664,3880664,3880664,3880664,3880664
120,25,25,000,2602131,3414521,3750126,4001291,4211272,4383901,4737474,10136775,10136775
121,0,0,000,-1,-1,-1,-1,-1,-1,-1,-1,-1
122,23,23,000,955614,1413659,1507858,1908673,1935434,2247751,3009090,7559066,7559066
123,34,34,000,453847,812001,1078185,1402128,1320994,1524144,6716575,6862871,6862871
124,132,132,000,85881,326183,505610,1110656,992706,3195248,5770219,6717098,6803445
125,79,79,000,51661,968309,1871004,2441784,3302408,5573454,6158230,7185705,7185705
126,30,30,000,599956,1015623,1944017,2383548,3895750,4771063,5277508,5811579,5811579
127,50,50,000,459326,1383050,2514889,2328690,3119156,3514713,4006756,4904534,4904534
128,19,19,000,1158569,1737353,2218079,2372429,3011453,4301467,4539098,4539098,4539098
129,19,19,000,410301,626956,856550,897879,1132825,1444545,1596253,1596253,1596253
130,111,111,000,86165,354228,607692,838851,1103873,1841534,2563819,2757036,2771051
131,103,103,000,44005,443184,800846,1042280,1368076,2282009,2738424,3844199,3862597
132,127,127,000,12095,285079,496909,744296,954101,1880933,2483265,2925284,3126193
133,104,104,000,96615,332643,714649,847285,1013587,1726353,2305505,3067114,3352225
134,121,121,000,100426,300789,536273,680771,800376,1334326,1725254,3188949,3232376
135,156,156,000,58756,330184,604616,732477,976864,1335746,1634669,3184766,3339974
136,157,157,000,47380,262015,495619,660625,800257,1308427,2084908,2720859,3006287
137,146,146,000,63159,287818,519310,681151,749708,1493560,1725489,2940149,3174884
138,150,150,000,66421,374453,494551,752982,918229,1605175,2137098,3285183,3466909
139,109,109,000,50048,328020,630303,849170,1082831,2003279,2712537,3010126,3669702
140,106,106,000,84580,543863,845648,946681,1172948,1679131,2406003,3098963,3390399
141,161,161,000,59578,286672,442098,597576,629191,1046348,1913191,3155629,3241594
142,159,159,000,110396,301990,459596,713029,704403,1756629,2978117,3422360,3500138
143,125,125,000,121121,379225,615516,748117,966614,1397225,1597512,2841895,2865007
144,102,102,000,64022,476189,627179,940172,990470,1876745,2471010,4450142,4619933
145,139,139,000,45385,270886,560570,780343,1080680,1469356,1791443,3732681,5899506
146,149,149,000,45853,353359,1077093,1990226,2657626,4485290,8450850,9595493,9633391
147,18,18,000,1714854,2283369,2635171,2881488,3275921,4277536,6108124,6108124,6108124
148,10,10,000,244133,581947,948318,1082589,1746565,2011763,2011763,2011763,2011763
149,96,96,000,69799,516507,1636533,2182879,3034861,5012038,6861723,7796307,7796307
150,33,33,000,954788,1684914,3088527,2770581,3567415,3988330,4257878,4258725,4258725
151,30,30,000,56146,2301860,2573340,2808797,3383960,4521878,5193308,5481934,5481934
152,20,20,000,1862914,2343378,2518606,2781675,3074299,4031830,4624479,4624479,4624479
153,32,32,000,578475,1169117,1364565,1583003,1860167,2679089,3137901,3518497,3518497
154,35,35,000,376653,862864,976043,1269485,1378257,2471667,3249183,4220074,4220074
155,123,123,000,58800,298721,705397,801937,939213,1558259,2323991,3012237,3043613
156,136,136,000,69626,312872,461830,642708,724748,1228564,1464008,3906993,4405589
157,151,151,000,66951,334976,509466,684252,806030,1140455,1516832,4116608,4470698
158,152,152,000,10226,350827,758853,1070482,1683366,2185230,2905592,4209055,5539799
159,56,56,000,306034,810772,1031097,1264224,1415120,1659297,2472025,6646076,6646076
160,115,115,000,55423,356370,619392,874427,894103,1013280,1536454,11829211,12000735
161,129,129,000,158796,362692,500984,1488780,825623,3150645,8155271,14866622,15343022
162,88,88,000,127700,942562,1806670,2899979,2847502,9103330,10419025,15869011,15869011
163,30,30,000,434439,3579317,7418995,6400917,9155716,9435693,9887201,14037775,14037775
164,35,35,000,389904,2869062,7304642,5872523,8353207,8567843,11472149,13130831,13130831
165,13,13,000,2237381,3181970,5551824,5492525,7011718,8103240,9377509,9377509,9377509
166,1,1,000,6694984,6694984,6694984,6694984,6694984,6694984,6694984,6694984,6694984
167,16,16,000,1946410,4318039,5295660,5069352,5545100,7438365,11390216,11390216,11390216
168,15,15,000,1684564,2183998,3611858,3474226,4188351,5318319,6608395,6608395,6608395
169,6,6,000,1023770,2737773,3689949,3202886,3957534,4161114,4161114,4161114,4161114
170,9,9,000,898504,1930399,2087208,2685920,2230453,8555178,8555178,8555178,8555178
171,21,21,000,1128626,1210541,1332039,1443575,1606932,1723395,1751770,2686097,2686097
172,78,78,000,61279,295378,487278,947463,1025130,1736744,4745394,6961302,6961302
173,75,75,000,107605,925854,1450139,1836016,2151276,3972538,4709930,5542743,5542743
174,42,42,000,332214,897940,2041299,1959589,2895062,3346556,3466327,4763060,4763060
175,27,27,000,719306,1831109,1974104,2140630,2581124,3312178,4026901,4306911,4306911
176,14,14,000,749452,936813,1282388,1367676,1414688,2301209,3228651,3228651,3228651
177,42,42,000,139959,939720,1331973,1298897,1730487,2083870,2085088,2702897,2702897
178,18,18,000,231225,573641,1066568,992046,1321210,1818899,1819672,1819672,1819672
179,6,6,000,286696,288834,836373,641316,837470,902844,902844,902844,902844
