Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
163,81,81,000,290935,488719,776698,960855,1132794,1610975,2319920,5949886,5949886
164,100,100,000,177259,379950,746890,1013228,1233304,1775477,2215354,6484630,6484630
165,111,111,000,82575,386972,536123,1216204,1343322,3753373,5361655,6245967,6271304
166,100,100,000,267865,587902,2153307,2293308,3583710,4700405,5755306,7243752,7243752
167,32,32,000,787782,1667186,2263639,2518653,3149980,3681055,4159376,7461545,7461545
168,9,9,000,935283,1781236,2195546,2127650,2373875,3807122,3807122,3807122,3807122
169,34,34,000,281220,874848,1137433,1101375,1384346,1545733,1639376,1678120,1678120
170,77,77,000,239051,466773,875391,922098,1270267,1527814,1648603,4385066,4385066
171,105,105,000,203098,381992,574621,1189195,1613158,2924969,3583255,6386019,7927862
172,57,57,000,261469,1316386,2078079,2567827,3381990,5972756,6275867,6477180,6477180
173,21,21,000,856920,1463632,2224007,2841436,4772920,5276423,5411808,5684998,5684998
174,19,19,000,607403,1314659,1724356,2613466,4157121,4969930,5810089,5810089,5810089
175,18,18,000,727695,3524278,3784185,3538961,3960909,4370475,4777916,4777916,4777916
176,7,7,000,2770313,3000457,3361022,3346217,3735987,3875929,3875929,3875929,3875929
177,1,1,000,1416718,1416718,1416718,1416718,1416718,1416718,1416718,1416718,1416718
178,4,4,000,376694,761701,1089677,909323,1409223,1409223,1409223,1409223,1409223
